Name,Category,Latitude,Longitude
TK-SD-SMP NEGERI MODEL,Sekolah Dasar,-6.9547942,106.7677327
SMP Islam Al-Anhar Sukabumi,Sekolah Menengah Pertama,-6.8998662,106.8953831
TAUD AT-TARTIL SUKABUMI,Taman Kanak-kanak,-6.9046172,106.8868137
SMPN 6 KOTA SUKABUMI,Sekolah Menengah Pertama,-6.9369205,106.9362288
MIN 5 Sukabumi,Sekolah Dasar,-6.9288185,106.8365926
SMKS Lodaya Sukabumi,Sekolah menengah,-6.8944372,106.8066546
Golden Age Islamic School (GAIS),Sekolah pendidikan umum,-6.9191175,106.9188635
SMP Negeri 5 Kota Sukabumi,Sekolah Menengah Pertama,-6.91966,106.9356264
Pondok Pesantren Al Masthuriyah,Sekolah Agama,-6.9055791,106.870147
PAUD Al Hidayah Kota Sukabumi,Kelompok Bermain,-6.9388329,106.9244374
IPB kota sukabumi,Sekolah pendidikan umum,-6.9449005,106.9518037
